book_rank,title,author,publisher,price,date_added
1,안녕이라 그랬어,['김애란(지은이)'],문학동네,"15,120원",2025-06-13
2,혼모노,['성해나(지은이)'],창비,"16,200원",2025-06-13
3,청춘의 독서 (특별증보판),['유시민(지은이)'],웅진지식하우스,"17,010원",2025-06-13
4,"첫 여름, 완주",['김금희(지은이)'],무제,"15,300원",2025-06-13
5,단 한 번의 삶,['김영하(지은이)'],복복서가,"15,120원",2025-06-13
6,소년이 온다,['한강(지은이)'],창비,"13,500원",2025-06-13
7,멜로우 TV 3 : 멜싹오싹 위험한 미션,"['멜로우 TV(원작)', '한바리(원작)', '차차(원작)']",학산문화사(단행본),"15,120원",2025-06-13
8,"혹시, 돈 얘기해도 될까요?",['주언규(지은이)'],필름(Feelm),"17,820원",2025-06-13
9,미술관에 간 할미,['할미(지은이)'],더퀘스트,"18,900원",2025-06-13
10,믿을 구석 The Last Resort,"['김멜라(지은이)', '김복희(지은이)', '김이설(지은이)', '박정민(지은이)', '박참새(지은이)', '손원평(지은이)', '오은(지은이)', '이해인(지은이)', '조예은(지은이)', '천선란(지은이)', '황인찬(지은이)', '김정아(지은이)', '배유진(지은이)', '인범(지은이)']",서울국제도서전,"13,500원",2025-06-13
11,모순,['양귀자(지은이)'],쓰다,"11,700원",2025-06-13
12,유지만 다이어트 레시피,['유지만(지은이)'],길벗,"19,800원",2025-06-13
13,이로운 보수 의로운 진보,"['최강욱(지은이)', '최강혁(지은이)']",한겨레출판,"18,000원",2025-06-13
14,자유론,"['존 스튜어트 밀(지은이)', '김만권(지은이)']",책세상,"8,910원",2025-06-13
15,야간비행 (먼슬리 클래식),"['앙투안 드 생텍쥐페리(지은이)', '용경식(지은이)']",문학동네,"9,000원",2025-06-13
16,결국 국민이 합니다 : 이재명의 인생과 정치철학,['이재명(지은이)'],오마이북,"19,800원",2025-06-13
17,위버멘쉬,"['프리드리히 니체(지은이)', '어나니머스(지은이)']",RISE(떠오름),"16,020원",2025-06-13
18,내게 남은 스물다섯 번의 계절,"['슈테판 셰퍼(지은이)', '전은경(지은이)']",서삼독,"15,120원",2025-06-13
19,엄마의 말 연습,['윤지영(지은이)'],카시오페아,"15,750원",2025-06-13
20,토막 난 우주를 안고서,"['김초엽(지은이)', '천선란(지은이)', '김혜윤(지은이)', '청예(지은이)', '조서월(지은이)']",허블,"15,300원",2025-06-13
